ticker,sec_symbol,sec_cik,sec_title
GE,GE,40545,GENERAL ELECTRIC CO
F,F,37996,FORD MOTOR CO
BBBY,BBBY,886158,Bed Bath & Beyond
XOM,XOM,34088,EXXON MOBIL CORP
CHK,EXE,895126,EXPAND ENERGY Corp
INTC,INTC,50863,INTEL CORP
SNAP,SNAP,1564408,Snap Inc
PFE,PFE,78003,PFIZER INC
SPG,SPG,1063761,SIMON PROPERTY GROUP INC.
AAL,AAL,6201,American Airlines Group Inc.
AAPL,AAPL,320193,Apple Inc.
MSFT,MSFT,789019,MICROSOFT CORP
NVDA,NVDA,1045810,NVIDIA CORP
AMD,AMD,2488,ADVANCED MICRO DEVICES INC
MU,MU,723125,MICRON TECHNOLOGY INC
CSCO,CSCO,858877,"CISCO SYSTEMS, INC."
ORCL,ORCL,1341439,ORACLE CORP
CRM,CRM,1108524,"Salesforce, Inc."
IBM,IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP
META,META,1326801,"Meta Platforms, Inc."
GOOGL,GOOGL,1652044,Alphabet Inc.
NFLX,NFLX,1065280,NETFLIX INC
PYPL,PYPL,1633917,"PayPal Holdings, Inc."
SQ,XYZ,1512673,"Block, Inc."
UBER,UBER,1543151,"Uber Technologies, Inc"
AMZN,AMZN,1018724,AMAZON COM INC
TSLA,TSLA,1318605,"Tesla, Inc."
GM,GM,1467858,General Motors Co
HD,HD,354950,"HOME DEPOT, INC."
LOW,LOW,60667,LOWES COMPANIES INC
NKE,NKE,320187,"NIKE, Inc."
SBUX,SBUX,829224,STARBUCKS CORP
MCD,MCD,63908,MCDONALDS CORP
TGT,TGT,27419,TARGET CORP
WMT,WMT,104169,Walmart Inc.
COST,COST,909832,COSTCO WHOLESALE CORP /NEW
M,M,794367,"Macy's, Inc."
KSS,KSS,885639,KOHLS Corp
GPS,GAP,39911,GAP INC
ROST,ROST,745732,"ROSS STORES, INC."
BA,BA,12927,BOEING CO
CAT,CAT,18230,CATERPILLAR INC
DE,DE,315189,DEERE & CO
MMM,MMM,66740,3M CO
HON,HON,773840,HONEYWELL INTERNATIONAL INC
UPS,UPS,1090727,UNITED PARCEL SERVICE INC
FDX,FDX,1048911,FEDEX CORP
DAL,DAL,27904,"DELTA AIR LINES, INC."
UAL,UAL,100517,"United Airlines Holdings, Inc."
LUV,LUV,92380,SOUTHWEST AIRLINES CO
CVX,CVX,93410,CHEVRON CORP
COP,COP,1163165,CONOCOPHILLIPS
OXY,OXY,797468,OCCIDENTAL PETROLEUM CORP /DE/
SLB,SLB,87347,SLB LIMITED/NV
HAL,HAL,45012,HALLIBURTON CO
FCX,FCX,831259,FREEPORT-MCMORAN INC
NUE,NUE,73309,NUCOR CORP
DOW,DOW,1751788,DOW INC.
ALB,ALB,915913,ALBEMARLE CORP
MOS,MOS,1285785,MOSAIC CO
JNJ,JNJ,200406,JOHNSON & JOHNSON
MRK,MRK,310158,"Merck & Co., Inc."
ABBV,ABBV,1551152,AbbVie Inc.
BMY,BMY,14272,BRISTOL MYERS SQUIBB CO
GILD,GILD,882095,"GILEAD SCIENCES, INC."
AMGN,AMGN,318154,AMGEN INC
MDT,MDT,1613103,Medtronic plc
CVS,CVS,64803,CVS HEALTH Corp
UNH,UNH,731766,UNITEDHEALTH GROUP INC
TMO,TMO,97745,THERMO FISHER SCIENTIFIC INC.
AMT,AMT,1053507,AMERICAN TOWER CORP /MA/
PLD,PLD,1045609,"Prologis, Inc."
O,O,726728,REALTY INCOME CORP
VTR,VTR,740260,"Ventas, Inc."
T,T,732717,AT&T INC.
VZ,VZ,732712,VERIZON COMMUNICATIONS INC
KO,KO,21344,COCA COLA CO
PEP,PEP,77476,PEPSICO INC
PG,PG,80424,PROCTER & GAMBLE Co
KHC,KHC,1637459,Kraft Heinz Co
ADBE,ADBE,796343,ADOBE INC.
TXN,TXN,97476,TEXAS INSTRUMENTS INC
QCOM,QCOM,804328,QUALCOMM INC/DE
AVGO,AVGO,1730168,Broadcom Inc.
LRCX,LRCX,707549,LAM RESEARCH CORP
DIS,DIS,1744489,Walt Disney Co
CMCSA,CMCSA,1166691,COMCAST CORP
BKNG,BKNG,1075531,Booking Holdings Inc.
CMG,CMG,1058090,CHIPOTLE MEXICAN GRILL INC
TJX,TJX,109198,TJX COMPANIES INC /DE/
RTX,RTX,101829,RTX Corp
LMT,LMT,936468,LOCKHEED MARTIN CORP
NOC,NOC,1133421,NORTHROP GRUMMAN CORP /DE/
ETN,ETN,1551182,Eaton Corp plc
EMR,EMR,32604,EMERSON ELECTRIC CO
EOG,EOG,821189,EOG RESOURCES INC
KMI,KMI,1506307,"KINDER MORGAN, INC."
LIN,LIN,1707925,LINDE PLC
APD,APD,2969,"Air Products & Chemicals, Inc."
DHR,DHR,313616,DANAHER CORP /DE/
